number,value,params_hidden_dim,params_kernel_size,params_lr,params_num_filters
0,0.91,192,3,0.0031449066951230948,112
11,0.91,96,9,0.005859667310285209,48
2,0.9,192,3,0.008068386469121065,32
10,0.9,64,9,0.005172501257443309,80
1,0.89,64,3,0.003319414023327547,64
7,0.89,224,7,0.0011048270653924227,96
5,0.88,96,3,0.0022298067722039327,80
4,0.87,256,5,0.002686281782188217,96
6,0.87,160,5,0.0010623716801588556,64
9,0.8,32,9,0.0017888515294488302,16
3,0.75,224,7,0.0016790055575223654,16
8,0.63,32,5,0.00039939269134736086,128
